1,539,Not Gen and Not Detected
1,545,Not Detected
1,556,Not Detected
1,558,Not Gen and Not Detected
1,569,Not Detected
1,574,Not Detected
1,580,Not Detected
1,581,Not Detected
1,582,Detected Good
1,584,Not Detected
1,586,Not Detected
1,589,Not Detected
1,604,Not Detected
1,610,Not Detected
1,617,Not Detected
1,619,Not Detected
1,620,Not Gen and Not Detected
1,623,Not Detected
1,628,Not Gen and Not Detected
1,635,Not Detected
1,641,Not Gen and Not Detected
1,642,False Positive
1,644,Not Detected
1,645,Not Gen and Not Detected
1,658,Detected Good
1,669,Not Detected
1,672,Not Detected
1,678,Not Detected
1,684,Detected Good
1,686,Not Detected
1,688,Not Gen and Not Detected
1,699,Not Detected
1,701,Detected Good
1,704,Not Detected
1,705,Not Detected
1,721,Not Detected
10,1,Detected Good
10,3,Not Gen and Not Detected
10,5,Not Detected
10,6,Not Detected
10,9,Not Gen and Not Detected
10,10,Not Detected
10,13,Detected Good
10,18,Not Detected
10,22,Detected Good
10,23,Not Detected
10,35,Detected Good
10,38,Not Detected
10,45,Not Detected
10,47,Not Detected
10,51,Not Gen and Not Detected
10,59,Not Detected
10,66,Not Detected
10,68,Not Detected
10,72,Not Detected
10,73,False Positive
10,74,Not Detected
10,75,Not Detected
10,93,Not Detected
10,95,Not Gen and Not Detected
10,96,Not Gen and Not Detected
10,106,Detected Good
10,111,False Positive
10,114,Not Detected
10,116,Not Gen and Not Detected
10,118,Not Gen and Not Detected
10,119,Not Detected
10,129,Not Gen and Not Detected
10,132,Not Detected
10,144,Not Detected
10,146,Not Detected
10,153,Not Detected
10,154,Not Gen and Not Detected
10,164,Not Detected
10,177,Not Detected
10,179,Not Detected
10,183,Not Gen and Not Detected
10,187,Not Detected
10,189,Not Detected
10,193,Not Detected
10,197,Not Gen and Not Detected
10,200,Not Detected
10,201,Not Detected
10,202,Not Gen and Not Detected
10,208,Not Detected
10,212,Not Gen and Not Detected
10,215,Detected Good
10,217,Not Detected
10,229,Not Gen and Not Detected
10,233,Not Detected
10,235,Not Gen and Not Detected
10,241,Not Gen and Not Detected
10,243,Not Detected
10,244,Not Detected
10,245,Not Detected
10,246,Not Gen and Not Detected
10,248,Not Gen and Not Detected
10,252,Not Detected
10,258,Detected Good
10,270,False Positive
10,275,Not Detected
10,284,Not Detected
10,292,Not Detected
10,294,Not Gen and Not Detected
10,299,Not Detected
10,303,Not Detected
10,306,Not Detected
10,312,Not Detected
10,320,Not Detected
10,329,Not Detected
10,333,Not Detected
10,339,Detected Good
10,344,Not Gen and Not Detected
10,352,Not Detected
10,355,Not Detected
10,357,Not Detected
10,370,Not Gen and Not Detected
10,371,Not Gen and Not Detected
10,378,Not Detected
10,380,Not Detected
10,382,Not Detected
10,401,Not Detected
10,428,Not Detected
10,429,Not Gen and Not Detected
10,443,Not Detected
10,447,Not Detected
10,452,Not Detected
10,456,Not Gen and Not Detected
10,457,Not Detected
10,459,Not Detected
10,460,Not Detected
10,462,Not Gen and Not Detected
10,463,Detected Good
10,464,Not Detected
10,476,Not Detected
10,477,Not Detected
10,479,Not Detected
10,481,Not Detected
10,482,Detected Good
10,486,Not Detected
10,487,Not Detected
10,514,Detected Good
10,517,Detected Good
10,520,Not Detected
10,522,Not Detected
10,530,Not Gen and Not Detected
10,531,Not Detected
10,532,Not Detected
10,535,Not Detected
10,542,Not Detected
10,545,Not Detected
10,547,Not Detected
10,548,Not Detected
10,550,Not Detected
10,559,Not Gen and Not Detected
10,562,False Positive
10,573,Not Detected
10,577,Not Gen and Not Detected
10,588,Not Detected
10,592,Not Detected
10,598,Not Gen and Not Detected
10,606,Not Detected
10,611,Not Detected
10,613,Not Detected
10,614,Not Detected
10,617,Not Detected
10,624,False Positive
10,629,Detected Good
10,638,Not Detected
10,645,Not Detected
10,649,Not Detected
10,650,Not Detected
100,4,Detected Good
100,7,Not Detected
100,10,Not Detected
100,13,Not Detected
100,19,Not Detected
100,25,Not Detected
100,30,Not Gen and Not Detected
100,37,Detected Good
100,38,Not Detected
100,40,Not Detected
100,53,Not Detected
100,56,Not Detected
100,62,Not Gen and Not Detected
100,64,Not Detected
100,70,Not Detected
100,74,Not Detected
100,90,Not Detected
100,96,Not Gen and Not Detected
100,100,Not Gen and Not Detected
100,103,Not Detected
100,108,Not Gen and Not Detected
100,118,Not Detected
100,128,Not Gen and Not Detected
100,130,Not Detected
100,137,Not Detected
100,139,Not Gen and Not Detected
100,150,Not Detected
100,153,Not Detected
100,155,Not Gen and Not Detected
100,156,Not Detected
100,161,Not Detected
100,172,Not Gen and Not Detected
100,175,Not Detected
100,178,Not Detected
100,180,Not Detected
100,181,Not Gen and Not Detected
100,182,Not Detected
100,183,Not Detected
100,187,Not Gen and Not Detected
100,195,Not Gen and Not Detected
100,198,Not Gen and Not Detected
100,218,Not Detected
100,228,Not Detected
100,239,Not Detected
100,240,Detected Good
100,244,Not Detected
100,247,Not Detected
100,252,Not Detected
100,255,Not Detected
100,263,Not Detected
100,278,Not Detected
100,279,Not Detected
100,283,Not Detected
100,294,Detected Good
100,296,Not Detected
100,297,Not Detected
100,302,Not Detected
100,307,Not Detected
100,309,Not Detected
100,311,Not Detected
100,319,Not Detected
100,323,Not Detected
100,324,Not Detected
100,325,Not Detected
100,331,Detected Good
100,343,Not Detected
100,348,Not Detected
100,350,Not Detected
100,351,Detected Good
100,378,Not Detected
100,383,Not Gen and Not Detected
100,390,Not Detected
100,399,Detected Good
100,400,Not Detected
100,408,Not Detected
100,414,Not Detected
100,416,Not Gen and Not Detected
100,427,Not Gen and Not Detected
100,430,Not Detected
100,433,Not Gen and Not Detected
100,441,Not Detected
100,443,Not Gen and Not Detected
100,453,Detected Good
100,458,Not Detected
100,462,Not Detected
100,471,Not Detected
100,474,Not Detected
100,487,Not Detected
100,491,Not Gen and Not Detected
100,497,Not Gen and Not Detected
100,501,Not Detected
100,513,Not Detected
100,516,Not Detected
100,523,Not Detected
100,524,Not Gen and Not Detected
100,525,Not Detected
100,543,Not Detected
100,548,Not Detected
100,549,Not Detected
100,552,Not Detected
100,554,Not Detected
100,557,Not Detected
100,559,Not Detected
100,562,Not Detected
100,582,Not Detected
100,591,Not Detected
100,592,Not Detected
100,595,Not Detected
100,596,Not Gen and Not Detected
100,604,False Positive
100,608,Not Detected
100,609,Not Detected
100,614,Not Detected
100,615,Not Gen and Not Detected
100,617,Not Gen and Not Detected
100,621,Not Detected
100,624,Not Detected
100,626,Not Detected
100,627,Not Detected
100,634,Not Detected
100,638,Not Detected
100,639,Not Gen and Not Detected
100,644,Not Detected
100,646,Not Detected
100,647,Not Gen and Not Detected
100,658,Not Detected
100,659,Not Gen and Not Detected
101,5,Not Detected
101,7,Not Detected
101,10,Not Gen and Not Detected
101,13,Not Detected
101,15,Not Detected
101,17,Not Detected
