Total,Correct Area,Muon Gen (in Area),Muon Det (in Area),Eff - Muon Det if when Gen (in Area),False Positive - Muon Not Gen when Det (In Area),x,y,z,E
1.0,1.0,1.0,0.0,0.0,0.0,-8.880716323852539,21.37853240966797,438.2473449707031,1204.5573184118332
0.010466127656400204,0.010466127656400204,0.010466127656400204,0.0,0.0,0.0,-14.170975685119629,26.937150955200195,373.1924743652344,764.9867840321361
0.0018324167467653751,0.0018324167467653751,0.0,0.0,0.0,0.0,-21.95745849609375,17.35199546813965,406.1712341308594,330.5810186345814
1.0,1.0,1.0,0.0,0.0,0.0,-9.391022682189941,18.623615264892578,491.6044616699219,1171.2250833860849
1.0,1.0,0.0,0.0,0.0,0.0,-10.886944770812988,34.40093231201172,467.53179931640625,146.18326013921512
0.004324351903051138,0.004324351903051138,0.0,0.0,0.0,0.0,-28.290359497070312,20.41945457458496,383.0042724609375,172.25131130655768
1.0,1.0,1.0,0.0,0.0,0.0,-9.485033988952637,24.18284797668457,383.9150085449219,533.2136385207098
0.091177798807621,0.091177798807621,0.0,0.0,0.0,0.0,-17.540035247802734,53.249481201171875,505.7752685546875,118.29445059769957
1.0,1.0,1.0,0.0,0.0,0.0,-33.08742141723633,28.5612735748291,486.4080505371094,538.8415264979833
0.028128664940595627,0.028128664940595627,0.0,0.0,0.0,0.0,-11.826998710632324,48.154258728027344,394.0562744140625,417.81796894753995
0.03683669865131378,0.03683669865131378,0.03683669865131378,0.0,0.0,0.0,-9.126667976379395,28.826637268066406,366.7433166503906,246.67480617488317
0.0030076487455517054,0.0030076487455517054,0.0030076487455517054,0.0,0.0,0.0,-9.09900951385498,27.731159210205078,497.4712219238281,248.4571675779344
1.0,1.0,1.0,0.0,0.0,0.0,-13.794222831726074,36.661441802978516,445.2518615722656,555.0287450112056
1.0,1.0,1.0,1.0,1.0,0.0,-34.51313781738281,45.602516174316406,391.3937683105469,104.79112261222102
0.07043593376874924,0.07043593376874924,0.0,0.0,0.0,0.0,-37.36630630493164,23.42288589477539,441.2809143066406,178.54161477884062
0.001737192738801241,0.001737192738801241,0.001737192738801241,0.0,0.0,0.0,-11.753564834594727,35.596946716308594,520.92041015625,199.54055578236702
1.0,1.0,1.0,0.0,0.0,0.0,-31.290163040161133,32.142250061035156,499.7419128417969,734.3760452555891
0.001703941379673779,0.001703941379673779,0.0,0.0,0.0,0.0,-18.346111297607422,29.786222457885742,389.0254821777344,376.6770390084819
1.0,1.0,1.0,0.0,0.0,0.0,-44.01667404174805,25.60814094543457,563.0115966796875,636.8437942317659
1.0,1.0,1.0,0.0,0.0,0.0,-8.38309383392334,17.578752517700195,419.43597412109375,1662.5429805360181
0.005916419439017773,0.005916419439017773,0.005916419439017773,0.0,0.0,0.0,-20.131277084350586,34.03866958618164,438.22509765625,112.41085735053996
0.0017302952473983169,0.0017302952473983169,0.0017302952473983169,0.0,0.0,0.0,-14.526900291442871,21.390317916870117,502.3358154296875,305.69498954039074
0.005132380872964859,0.005132380872964859,0.005132380872964859,0.005132380872964859,0.005132380872964859,0.0,-15.752237319946289,21.875261306762695,445.560791015625,27.1361755562947
1.0,1.0,1.0,0.0,0.0,0.0,-27.052865982055664,33.1267204284668,505.44195556640625,859.3706327835405
1.0,1.0,1.0,0.0,0.0,0.0,-11.647189140319824,26.260061264038086,428.675537109375,897.5143783220133
0.013013066723942757,0.013013066723942757,0.013013066723942757,0.0,0.0,0.0,-38.14558410644531,43.57083511352539,567.6221923828125,58.28577371123832
0.0052463035099208355,0.0052463035099208355,0.0052463035099208355,0.0,0.0,0.0,-39.57843780517578,52.180049896240234,398.6831970214844,116.58732525797484
0.0022938442416489124,0.0022938442416489124,0.0022938442416489124,0.0022938442416489124,0.0022938442416489124,0.0,-9.7222900390625,42.021484375,365.10821533203125,268.8159328362397
0.008597953245043755,0.008597953245043755,0.0,0.0,0.0,0.0,-39.59879684448242,32.513465881347656,420.97906494140625,87.16594220643474
0.0514950156211853,0.0514950156211853,0.0514950156211853,0.0,0.0,0.0,-38.725440979003906,21.916353225708008,468.04241943359375,213.59506575863804
0.05533532425761223,0.05533532425761223,0.05533532425761223,0.0,0.0,0.0,-27.985652923583984,38.104122161865234,473.3451232910156,187.8448165269702
0.002072773640975356,0.002072773640975356,0.002072773640975356,0.0,0.0,0.0,-8.399435997009277,30.595075607299805,499.86614990234375,367.98378199411485
0.02322939783334732,0.02322939783334732,0.02322939783334732,0.0,0.0,0.0,-17.419727325439453,37.04214096069336,484.2181396484375,404.7581425396208
0.024341905489563942,0.024341905489563942,0.024341905489563942,0.0,0.0,0.0,-10.004927635192871,29.871713638305664,505.3670654296875,446.2342848539194
0.006930505391210318,0.006930505391210318,0.006930505391210318,0.0,0.0,0.0,-29.9156551361084,51.74455642700195,482.1973571777344,72.97024807553987
0.0004441490164026618,0.0004441490164026618,0.0004441490164026618,0.0,0.0,0.0,-7.5402116775512695,20.03565788269043,373.5519104003906,1070.5257393983627
1.0,1.0,0.0,0.0,0.0,0.0,-16.34624671936035,17.734695434570312,532.0808715820312,449.4702701145418
1.0,1.0,0.0,0.0,0.0,0.0,-29.213706970214844,21.82177734375,424.31524658203125,1082.7039186482568
1.0,1.0,0.0,0.0,0.0,0.0,-43.208213806152344,32.039642333984375,366.53485107421875,404.66452530153845
1.0,1.0,1.0,0.0,0.0,0.0,-21.01604461669922,22.041431427001953,428.3064880371094,1581.7487250866784
0.07292431592941284,0.07292431592941284,0.07292431592941284,0.0,0.0,0.0,-23.749027252197266,33.38982391357422,430.47674560546875,144.31069686861403
